stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw,tag_ids,imu_stamp_sec,imu_stamp_nanosec,imu_qx,imu_qy,imu_qz,imu_qw,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
5700,724000000,9.272062784762682,2.1686458598535765,2.3236235984190103,0.7968278841270346,-0.012762525884544051,0.6039208409687302,0.013492918672437695,,5700,738000000,-3.242133991922057e-05,-0.00014683781828694081,0.16247234033076488,0.9867130869786597,3.9482604361838744e-05,9.87101785551385e-05,3.8954978745008616e-11,-4.233501006000763e-06,1.6933198105464117e-06,9.106232822952414
5700,774000000,9.267362837905718,2.153406370770326,2.2792279654740577,0.782613408673209,-0.015749915418701223,0.6220866071714056,0.016626662538630228,"14,15",5700,798000000,-3.0622291854119586e-05,-0.0001386896778637716,0.16247234053005685,0.9867130881822405,0.00016263384162206422,0.00040658771267329416,3.4586688666231565e-11,-2.148890279288912e-05,8.595491728883436e-06,9.203093723847198
5703,641000000,9.54950899216745,1.1374356169406157,3.3424913139948105,0.8067268277346068,-0.0005442624340117195,0.5909224409331622,0.0014825630692436443,"14,15",5703,648000000,0.0046389919682206715,0.0007638138930863394,0.16246917575605946,0.9867024188026511,-0.025713906361650073,1.2009177028809472e-05,-8.994736069464388e-07,-7.152110413910506e-07,-0.0014921571327869837,9.814663832673277
5703,675000000,9.559281997974363,1.113097418447654,3.399224079026611,0.815326421047477,0.002646991143095024,0.5789170026682519,-0.009535439235172076,"14,15",5703,688000000,0.004104812319687033,0.0006760809191861659,0.16246954934194574,0.9867047881545098,-0.028352060097187666,1.01279285633811e-05,-8.381759289362118e-07,-6.057453646943212e-07,-0.0016538336838897716,9.813258431070468
5703,992000000,9.694171770280022,1.167642409471808,3.634682412604987,0.811960602378822,0.0002525515672919527,0.5837104033148947,-0.0014427280719111757,"14,15",5704,8000000,8.022086718063306e-05,1.3766337363391483e-05,0.16247085838482514,0.986713339096416,-0.015045953534917444,-3.938503639795005e-06,-4.621581819318361e-07,2.267064455034216e-07,-0.0009021284039195945,9.805890519416085
5704,25000000,9.665106803344663,1.1799934674553703,3.6476389469501607,0.8109692768870971,-0.0005190316495553922,0.5850807727132747,0.0030086463073741485,"14,15",5704,58000000,-0.00023329047813006658,-3.796794900696649e-05,0.16247084369646492,0.9867133165628943,-0.010473140428175544,-4.826604783101296e-06,-4.1942897526379235e-07,2.8079663861913006e-07,-0.0006332969373057636,9.805197034652023
5704,57000000,9.676276541928427,1.1695076464723941,3.6649768141449792,0.8094812508377633,-0.00019620203681369085,0.5871413318638652,0.0022632861103774123,"14,15",5704,98000000,-0.00040411204114385214,-6.619732774907383e-05,0.16247082675769353,0.9867132626878204,-0.00694603187945942,-5.213203335781812e-06,-3.879339094408818e-07,3.049668514191464e-07,-0.0004251614131454591,9.804702493492963
5704,141000000,9.672059105564475,1.1955286132728804,3.697877113585194,0.8061708057427428,-0.0006229906932712018,0.5916665988337451,0.004345074821096767,"14,15",5704,188000000,-0.0005518617121401032,-9.076607734916842e-05,0.1624707993524726,0.9867131936727807,-6.244926993882995e-05,-5.144610683447538e-06,-3.25142526708598e-07,3.0371934550742306e-07,-1.680701868549475e-05,9.80375528816217
5704,174000000,9.688753293445885,1.1826869252194494,3.731314576942927,0.8138013716329083,0.0002273303495520068,0.5811392104413972,-0.002119890765683867,"14,15",5704,228000000,-0.0005282531282487242,-8.697938135196267e-05,0.16247079536744644,0.9867132075916938,0.00234305866178658,-4.7694854353331605e-06,-3.0053648139737683e-07,2.8262175591226707e-07,0.0001268143699026062,9.803397472499478
5704,207000000,9.69597267831088,1.1740738499070362,3.770384228818459,0.811946511302814,3.591471924007845e-05,0.5837314191155064,-0.0007013064373394084,"14,15",5704,258000000,-0.00048196158049689934,-7.94266577294777e-05,0.16247079498980965,0.9867132319878054,0.0038396354254937033,-4.382016697290292e-06,-2.833053786916054e-07,2.60427734869958e-07,0.00021657187609144118,9.803151359668197
